Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Armstrong,Kevin Paul James ",FRCP MD at DALHOUSIE ; FRCPCan at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Armstrong,Paidrig ",MD FRCPCan at DALHOUSIE ; BSc at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Armstrong,Sarah ","BA Hamilton College USA, MD Upstate Medical Univ USA ",Psychiatry ,,Assistant Professor/MD ,
"Arnold,Brian ","BA, OF THE LAW SOCIETY OF UPPER CANADA ; JD Harvard; ",Law - Office of the Dean ,,Professor Emeritus ,
"Arnold,Ivor A. ",BA London; MA British Columbia; Ph.D. Toronto; ,French Studies ,,Professor Emeritus ,
"Arnold,J M ",FRCPCan FACP FACC FRCP at EDINBURGH ; FRCP at LONDON ; BSc BAO MBBCh MD at Queen's ,Department of Medicine ,,Professor/MD ,
"Arntfield,Michael Andrew ","BA, Western; BA (Honors), Western; MA, Western; Ph.D., Western ",Info & Media Studies - General ,Centre for American Studies ,Assistant Professor ,
"Arntfield,Robert Thomas ","BSc Queen's, MD Western ",Department of Medicine ,,Assistant Professor/MD ,
"Arntfield,Shannon ",BS Queen's Univ; MD Western ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,
"Arriaga,Eduard Alberto ","MA, Instituto Caro y Cuervo; Ph.D. Western; ",Modern Languages & Literatures ,,Assistant Professor ,
"Arsenault,Gilles ",BS Mount Allison Univ; Ph.D. U of Guelph ,Chemistry ,,Adjunct Research Professor ,
"Arthur,Fred Edward ",MD Western ,Family Medicine - General ,,Adjunct/MD ,
"Arya,Neil ",CCFP at MCGILL ; MD at Queen's ; BASc at TORINO ,Family Medicine - General ,,Adjunct/MD ,
"Aryee,Abednego ",BA GHA; Ph.D. Wilfrid Laurier ,Geography ,,Assistant Professor ,
"Asantey,Solomon Ben Akotua ","BSc., Univ of Sci & Tech, Ghana; M.Phil. Univ of Sci & Tech, Ghana; Ph.D., Western; ",Civil & Environmental ,,Assistant Professor ,
"Asari,Katayoun ","BA, MA Ohio ",French Studies ,,Lecturer ,
"Asem,Kevin Cash Delali ",BS York Univ; MD U of Ottawa ,Family Medicine - General ,,Assistant Professor/MD ,
"Ashbourne,Dan ","Bachelors, Ph.D. Ontario ",Psychology ,,Adjunct Clinical Professor ,
"Ashmawy,Ahmed ",MS Cairo Univ Egypt ,Dental Clinics ,,Adjunct Clinical Professor ,
"Ashmore,Peter E ","BSc Hull; MSc, Ph.D. Alberta; ",Geography ,,Professor ,
"Ashok,Dhandapani ","MBBS Madras Univ IND; MD Dr MGR Medical Univ, IND ",Paediatrics ,,Assistant Professor/MD ,
